Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:10:41,This is unbelievable!,negative,Negative,-2,Negative,1,0,0,0
1,1,00:10:43,"I promise you, everything's fine. You got nothing to worry about.","anticipation,fear,joy,negative,positive,sadness,trust",Neutral,0,Positive,1,0,0,0
1,1,00:10:47,"Well, well, Mother! We meet again!","anticipation,joy,negative,positive,sadness,trust",Neutral,0,Positive,1,0,0,16.67
1,1,00:10:50,"Stewie, I thought I tucked you in an hour ago.",anticipation,Neutral,0,Neutral,1,0,0,20
1,1,00:10:56,Not tightly enough it would seem. And now you contemptible harpy I shall end your reign of matriarchal tyranny.,"anger,disgust,fear,negative,sadness",Neutral,0,Positive,1,0,0,5.26
1,1,00:10:58,"You can play tomorrow, honey.","anticipation,positive",Neutral,0,Neutral,1,0,0,20
1,1,00:11:00,Right now it's bedtime.,Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:11:02,Blast you and your estrogenical treachery!,"anger,fear,negative,sadness,surprise",Neutral,0,Negative,1,0,0,0
1,1,00:11:05,"Sweet dreams, kiddo.","anticipation,joy,positive,surprise,trust",Positive,3,Positive,1,0,0,0
1,1,00:11:06,You have the power to end this!,Neutral,Neutral,0,Neutral,1,14.29,0,14.29
1,1,00:11:11,How'd she take it?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:11:12,I told her she was fat.,"disgust,negative,sadness",Neutral,0,Negative,1,0,0,0
1,1,00:11:14,No.,Neutral,Negative,-1,Neutral,1,0,0,0
1,1,00:11:16,I hate lying to Lois. It's just...,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,1,0,0,0
1,1,00:11:18,It's the best way to keep her from the truth.,"positive,trust",Positive,3,Positive,1,0,0,0
1,1,00:11:20,You have no choice. Your unemployment will dry up soon.,positive,Negative,-3,Neutral,1,10,0,0
1,1,00:11:23,She'll probably sense something's amiss when they repossess your house.,"anger,fear,negative,positive,sadness,surprise",Neutral,0,Negative,1,0,0,10
1,1,00:11:26,You really oughta think of your family's welfare.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:11:29,"Jeez, Brian! That's a great idea!",Neutral,Positive,3,Positive,1,0,0,0
1,1,00:11:32,"Okay, do you have any disabilities, past injuries, physical anomalies?",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:11:37,I didn't have gas for the first time until I was 30.,anticipation,Neutral,0,Neutral,1,8.33,0,8.33
1,1,00:11:45,What the hell was that?,"anger,disgust,fear,negative,sadness",Negative,-1,Negative,1,0,0,0
1,1,00:11:48,"Guys, our money problems are over! We're officially on welfare.","anger,anticipation,joy,positive,surprise,trust",Negative,-2,Negative,1,10,0,10
1,1,00:11:51,"Come on, help me scatter car parts on the front lawn.",Neutral,Positive,2,Neutral,1,0,0,18.18
1,1,00:11:54,How much are we getting?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:11:55,Let's see. $150 a week.,Neutral,Neutral,0,Neutral,1,0,0,20
1,1,00:11:58,"Wait. That's a comma, not a decimal.","anticipation,negative",Neutral,0,Neutral,1,0,0,14.29
1,1,00:12:02,Whoops.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:12:03,"No, I haven't seen Peter all afternoon.",Neutral,Negative,-1,Neutral,1,0,0,14.29
1,1,00:12:06,I was giving a piano lesson.,"anticipation,positive,trust",Neutral,0,Neutral,1,0,0,0
1,1,00:12:08,"Stewie, why don't you play in the other room?",Neutral,Neutral,0,Neutral,1,0,0,11.11
1,1,00:12:10,Why don't you burn in hell?,"anger,disgust,fear,negative,sadness",Negative,-4,Negative,1,0,0,0
1,1,00:12:12,"No dessert for you, young man.",Neutral,Negative,-1,Neutral,1,0,0,0
1,1,00:12:17,"Who would've thought getting drunk would get me $150,000 a week from the government?","anticipation,fear,negative",Negative,-2,Negative,1,7.14,0,14.29
1,1,00:12:20,This is why I don't vote.,"anger,anticipation,joy,negative,positive,sadness,surprise,trust",Neutral,0,Neutral,1,16.67,0,0
1,1,00:12:22,"Maybe somebody down there was drinking, too.",negative,Neutral,0,Neutral,1,0,0,0
1,1,00:12:28,"Mr. President, why do you think the public supports you during these impeachment proceedings?","anticipation,negative,positive,trust",Positive,2,Positive,1,7.14,0,0
1,1,00:12:29,Probably because you're so fat.,"disgust,negative,sadness",Neutral,0,Negative,1,0,0,0
1,1,00:12:33,"Peter, you might want to call the Welfare Commission.",trust,Positive,1,Neutral,1,0,0,11.11
1,1,00:12:35,That check is obviously an oversight.,negative,Neutral,0,Negative,1,0,0,0
